id_cliente,nome_cliente,sobrenome_cliente,nome_completo_cliente,email_cliente,telefone_cliente,ramal_cliente,genero_cliente,data_nascimento_cliente,data_cadastro_cliente,endereco_cliente,cidade_cliente,estado_cliente,pais_cliente,origem_cliente,idade_cliente
06fecdff-0019-4ee0-90f6-bfa6f0d82519,Jefferson,Godoy,Jefferson Godoy,jefferson.godoy@yahoo.com,(77) 2381-4062,41565.0,Não Informado,1996-01-15,2021-03-25,212 Velasquez Neck,São Caetano Do Sul,São Paulo,Brasil,Web,30
b613fabf-3246-4409-9189-0b4492091ef0,Celso,Garcia,Celso Garcia,celso.garcia@yahoo.com,(49) 2002-0085,,Masculino,1987-10-08,2021-05-09,6683 Bullock Divide,Guarulhos,São Paulo,Brasil,Web,38
dca66c93-b65b-4a41-8e03-719346b1b898,Camila,Drummond,Camila Drummond,camila976@yahoo.com,(83) 7157-4471,25226.0,Feminino,2015-03-16,2019-07-17,8321 Margaret Fort,Barretos,São Paulo,Brasil,Web,11
9412a9b3-7aa4-4485-bb73-bef979a6f935,Fernanda,Wanderley,Fernanda Wanderley,fernanda.wanderley@hotmail.com,(77) 1790-4106,,Feminino,1983-06-14,2024-09-25,4905 York Village,Junco Do Seridó,Paraíba,Brasil,Web,42
dc50d6ac-ffcf-499d-85e1-f9df4250c1f3,Leandro,Alves,Leandro Alves,lalves458@hotmail.com,(84) 8990-1920,85068.0,Masculino,1983-08-07,2019-03-18,168 Nicholas Forges Apt. 082,Rio Verde,Goiás,Brasil,App,42
40638f84-b69d-46e5-92c8-8f19f931265d,Nicole,Sampaio,Nicole Sampaio,nicole561@gmail.com,(97) 9186-4257,,Feminino,1992-11-14,2019-06-17,4075 SARA LOCKS,Carapicuíba,São Paulo,Brasil,Web,33
f1b3142a-9e3d-410a-863e-7542a626bf57,Plinio,Xisto,Plinio Xisto,plinio886@hotmail.com,(74) 3183-1842,88741.0,Masculino,1965-12-18,2020-02-08,4408 Erin Knoll Apt. 053,Uberlândia,Minas Gerais,Brasil,App,60
666e1799-c560-4c6e-891f-db7d491b1b98,Kelly,Yamamoto,Kelly Yamamoto,kyamamoto678@yahoo.com,(65) 4331-3407,969.0,Feminino,1998-08-07,2020-06-18,2648 Andrew Gardens,Brasília,Distrito Federal,Brasil,Web,27
d441c9c8-d3d7-4e45-95ac-784d823b6d13,Penelope,Kuhn,Penelope Kuhn,penelope.kuhn300@yahoo.com,(97) 8092-7219,,Feminino,1986-11-16,2019-10-04,957 Steele Square Apt. 405,Franca,São Paulo,Brasil,App,39
1cbe42d3-d0bc-4de0-8bdb-3995e2168cd2,Lucas,Amorim,Lucas Amorim,lucas_amorim@yahoo.com,(86) 8652-8127,8640.0,Masculino,2005-12-28,2024-11-14,02717 Daniel Coves,Camaragibe,Pernambuco,Brasil,Web,20
a4ba8cda-740e-4694-8c0e-ed19eb9a5d1a,Tiago,Coelho,Tiago Coelho,tiago_coelho@hotmail.com,(12) 3499-4835,,Masculino,1979-08-03,2022-11-25,710 Gonzalez Circles,Embu Das Artes,São Paulo,Brasil,Web,46
72c4717c-fef3-4e04-af4e-f843c6473171,Ana,Viana,Ana Viana,aviana543@1.com,(74) 6421-4430,,Feminino,1976-08-06,2022-06-20,514 Ward Mill Apt. 429,Assis,São Paulo,Brasil,Web,49
7231ff8d-cbf7-44ee-9ced-b685d8735881,Tania,Maciel,Tania Maciel,tmaciel198@gmail.com,(83) 4639-7920,,Feminino,1997-10-11,2022-11-22,439 Brennan Port,Boa Vista,Roraima,Brasil,Web,28
b02950c9-4978-4423-8ffd-3d0e43293d73,Elias,Oliveira,Elias Oliveira,elias.oliveira675@gmail.com,(83) 3520-2858,797.0,Masculino,1971-01-06,2022-09-19,8822 Ryan Lodge,Atibaia,São Paulo,Brasil,Web,55
6e2e9433-b50c-404b-9605-40963620b38d,Berenice,Evangelista,Berenice Evangelista,berenice616@gmail.com,(84) 2192-0775,,Feminino,1992-07-19,2018-10-18,5392 Eddie Freeway,São José Do Rio Preto,São Paulo,Brasil,Web,33
e4669fc4-cdc2-4652-aad3-2f5c139c2172,Eduardo,Iglesias,Eduardo Iglesias,eduardo_iglesias@hotmail.com,(12) 9635-5692,741.0,Masculino,1969-01-25,2020-10-30,2866 Ruth Mission Suite 254,Caraá,Rio Grande Do Sul,Brasil,Web,57
599d68c6-4a2b-49e1-b778-a84ce6e72477,Ester,Lopes,Ester Lopes,ester.lopes940@gmail.com,(91) 6516-9921,,Feminino,1988-12-01,2020-05-03,522 Grant Isle,Antônio Carlos,Minas Gerais,Brasil,Web,37
696c74c7-554d-4fea-a2ae-b86e57a347bb,Helena,Souza,Helena Souza,helena456@yahoo.com,(11) 9644-6927,57684.0,Feminino,1994-02-22,2019-10-29,455 Nathaniel Alley,Mallet,Paraná,Brasil,Web,32
677e9853-222f-4949-b40a-f74ebc6c871c,Elias,Hora,Elias Hora,elias_hora@hotmail.com,(92) 3543-9927,7213.0,Masculino,1990-10-17,2021-11-01,00034 Murray Prairie,Videira,Santa Catarina,Brasil,Web,35
4735ad54-02dd-4bfc-9473-f572ed4a630e,Sandra,Horta,Sandra Horta,sandra_horta@hotmail.com,(87) 6244-7209,201.0,Feminino,1995-07-25,2022-02-20,93934 Clark Parkways Suite 442,Ponta Grossa,Paraná,Brasil,App,30
f1843ec7-a5af-41ad-8042-850ddc18262f,Artur,Rocha,Artur Rocha,artur_rocha@gmail.com,(94) 7884-4713,,Masculino,2001-03-27,2020-08-16,214 Victoria Manors,Balneário Camboriú,Santa Catarina,Brasil,Indicação,25
0f55d0ec-7ec6-4b86-ad39-62101f07dbb7,Eduarda,Wanderley,Eduarda Wanderley,eduarda.wanderley910@yahoo.com,(89) 9183-5460,62.0,Feminino,1980-04-26,2018-10-16,247 Jennifer Light,Osasco,São Paulo,Brasil,Web,46
d45d0832-8673-4212-8b64-12428ec6d2f2,Ruan,Domingues,Ruan Domingues,ruan.domingues@hotmail.com,(83) 6611-1534,4610.0,Masculino,1993-03-18,2022-05-08,09159 Tim Haven,São Paulo,São Paulo,Brasil,Web,33
6beec799-fa5d-42d1-aad4-0868188b913d,Viviane,Uchoa,Viviane Uchoa,viviane.uchoa@gmail.com,(75) 5601-1248,1495.0,Feminino,1971-12-18,2018-11-04,41060 Cross Mall Apt. 225,Cruz Machado,Paraná,Brasil,App,54
46f3a26c-b9c3-47ee-8ab3-425d357fb922,Adriana,Tobias,Adriana Tobias,adriana_tobias@1.com.br,(79) 1312-8945,64378.0,Feminino,1972-07-15,2023-06-14,5326 Horn Summit,São Carlos,São Paulo,Brasil,Web,53
097e6235-ce30-4604-837a-0a26ce0bbdf9,Beatriz,Gomes,Beatriz Gomes,beatriz.gomes245@hotmail.com,(93) 1423-2893,,Feminino,1991-11-30,2023-05-16,87905 Cassandra Heights,Espírito Santo,Rio Grande Do Norte,Brasil,App,34
5ffe6c9d-516b-4c1d-835e-a1f8863d6772,Hannah,Godoy,Hannah Godoy,hannah_godoy@hotmail.com,(89) 4062-5767,,Feminino,1986-09-27,2022-02-24,97649 Charles Rest,Caruaru,Pernambuco,Brasil,App,39
1535ea2c-8eed-4be3-a86c-99347d38372c,Simone,Lacerda,Simone Lacerda,simone_lacerda@cliente3729.com,(14) 9957-7523,854.0,Feminino,1989-06-28,2022-12-16,02670 Ashley Court Suite 405,Rio Grande Da Serra,São Paulo,Brasil,Web,36
2684097f-8570-4f2e-8400-8d33fa7eb90b,Jaqueline,Domingues,Jaqueline Domingues,jdomingues488@gmail.com,(71) 6275-0802,30434.0,Feminino,1987-12-12,2019-09-23,0234 Dorsey Lights Apt. 250,Belém,Pará,Brasil,Web,38
cdb3efd4-b5ba-48e3-9ea9-aba1aaa03615,Mariana,Miranda,Mariana Miranda,mariana.miranda210@hotmail.com,(93) 6286-9524,,Feminino,1984-07-18,2022-02-09,31601 Rachel Glen,Araraquara,São Paulo,Brasil,Web,41
96cc749f-34b2-45d4-b325-09b7609e0c45,Guilherme,Franco,Guilherme Franco,guilherme_franco@hotmail.com,(83) 6323-5401,1120.0,Masculino,1979-08-31,2021-10-06,27486 Lewis Coves Suite 074,Betim,Minas Gerais,Brasil,App,46
88a8cde6-b526-468d-abaa-52aa32339b64,Wanessa,Souza,Wanessa Souza,wanessa_souza@hotmail.com,(83) 3145-6259,944.0,Feminino,1983-10-08,2022-01-07,059 Barton Ford,São Paulo,São Paulo,Brasil,Web,42
4c6a3530-f075-4558-aced-06a877a71fb5,Celso,Coelho,Celso Coelho,celso331@yahoo.com,(96) 6743-7084,60660.0,Masculino,1991-02-07,2018-02-16,56090 Navarro Crossroad Suite 369,Sapiranga,Rio Grande Do Sul,Brasil,App,35
8d27663a-7558-460a-a910-ed8a4f12f912,Cintia,Esteves,Cintia Esteves,cintia_esteves@hotmail.com,(86) 4275-2197,287.0,Feminino,1992-06-30,2022-05-11,2388 Gonzalez Corners,Perdizes,Minas Gerais,Brasil,App,33
548eb0d0-2217-4bcb-8a5e-7683c540f9fa,Paula,Campos,Paula Campos,paula.campos175@hotmail.com,(82) 5440-5267,53959.0,Feminino,1989-01-23,2020-03-30,2180 Tina Mountain,São Paulo,São Paulo,Brasil,Web,37
b3bd297c-448c-4f98-a33c-f02ae639125a,Thaisa,Carvalho,Thaisa Carvalho,thaisa_carvalho@gmail.com,(92) 8707-3750,,Feminino,1978-10-15,2020-09-16,66091 Porter Plains Suite 676,Cristalina,Goiás,Brasil,Web,47
31e8838d-b54e-49cc-b6a4-8b88b8c8e742,Everton,Yamamoto,Everton Yamamoto,eyamamoto953@gmail.com,(97) 6872-3938,936.0,Masculino,1979-02-10,2018-04-23,13403 Emily Village Apt. 847,Junqueiro,Alagoas,Brasil,Web,47
61e99dea-26d2-456d-83db-074b47bceaf6,Francielly,Guerra,Francielly Guerra,francielly_guerra@hotmail.com,(92) 4294-7704,,Feminino,1998-10-12,2019-10-17,2361 Larsen Street,Camboriú,Santa Catarina,Brasil,App,27
48409880-01cf-4053-9106-048c84372d81,Daniel,Domingues,Daniel Domingues,daniel_domingues@gmail.com,(14) 3989-4556,4158.0,Masculino,1981-12-16,2019-06-09,403 Elizabeth Ports,Ouricuri,Pernambuco,Brasil,Web,44
6181c12b-ff51-4330-a95a-f1f00b8eeb63,Nilton,Alves,Nilton Alves,nilton381@yahoo.com,(81) 3290-5168,651.0,Masculino,1996-04-10,2022-06-06,05045 Rebecca Club Apt. 465,Rio De Janeiro,Rio De Janeiro,Brasil,Indicação,30
9d817421-b6b8-48cc-b6b3-cefc3e5c7c74,Osmar,Evangelista,Osmar Evangelista,osmar.evangelista@gmail.com,(87) 2226-4666,6046.0,Masculino,1964-04-25,2021-08-21,19473 Koch Mount,Foz Do Iguaçu,Paraná,Brasil,Indicação,62
788ded9e-db69-4f19-bfee-c23e7c71818f,Xuxa,Nogueira,Xuxa Nogueira,xuxa591@hotmail.com,(82) 0210-9545,,Feminino,2017-12-09,2018-03-16,9023 Roberts Springs,Itaboraí,Rio De Janeiro,Brasil,Web,8
b1d563c9-7b28-438d-9af8-cfeaf1200fa6,Kevin,Guerra,Kevin Guerra,kguerra348@yahoo.com,(86) 6140-1879,7831.0,Masculino,1999-04-26,2020-05-02,68825 Charles Overpass Apt. 634,Presidente Getúlio,Santa Catarina,Brasil,Web,27
ea4e8685-9cda-432f-aa79-0277cca0dcab,Wendell,Inocencio,Wendell Inocencio,wendell911@yahoo.com,(11) 1707-6549,90578.0,Masculino,1990-09-18,2022-03-10,94056 Robert Heights,Sobral,Ceará,Brasil,App,35
b9ff1f01-cb76-4b08-9b4b-107b8e534797,Adriana,Luz,Adriana Luz,adriana.luz460@yahoo.com,(84) 3720-2965,15.0,Feminino,1985-08-17,2018-03-20,065 Vicki Via,Brasília,Distrito Federal,Brasil,Web,40
3f5ad3a2-00af-4d74-bd8e-5b58710918dc,Sabrina,Bessa,Sabrina Bessa,sabrina_bessa@hotmail.com,(91) 2736-9183,207.0,Feminino,1981-10-23,2023-04-04,134 Doyle Mountains,Cotia,São Paulo,Brasil,App,44
102d9c80-4cab-4aea-a79b-e24230424821,Flavio,Correia,Flavio Correia,flavio381@yahoo.com,(17) 2955-8397,,Masculino,1986-12-09,2022-11-10,0249 Winters Prairie,Paranavaí,Paraná,Brasil,App,39
61221290-0b30-45d9-a58c-5699c90bfb9d,Beatriz,Yokoyama,Beatriz Yokoyama,byokoyama508@hotmail.com,(95) 2466-4867,,Feminino,1979-05-16,2022-01-22,636 Meghan Point Apt. 741,Brasília,Distrito Federal,Brasil,Web,47
65e26f3e-d53b-4399-9c7b-66b9db3b0f40,Ivan,Queiroz,Ivan Queiroz,iqueiroz418@gmail.com,(99) 2147-6657,68614.0,Masculino,1965-03-18,2021-03-15,42575 Aaron Fields Suite 760,São Paulo,São Paulo,Brasil,Web,61
257f5f81-be57-4669-85f8-920279426def,Raquel,Werneck,Raquel Werneck,raquel.werneck650@yahoo.com,(12) 9787-6442,918.0,Feminino,1997-10-09,2021-09-18,4109 Amber Cliffs Apt. 621,Jaboatão Dos Guararapes,Pernambuco,Brasil,Web,28
6a1e3aea-6c33-4248-b5e1-d8c9ebba972f,Wesley,Nagata,Wesley Nagata,wesley_nagata@gmail.com,(74) 2301-4630,5451.0,Masculino,1980-07-07,2024-02-07,40708 Andrew Walk Suite 821,Barra Do Bugres,Mato Grosso,Brasil,Indicação,45
eaae2c5a-67f5-4a48-87c3-d77109746646,Lucas,Figueiredo,Lucas Figueiredo,lucas166@yahoo.com,(15) 3875-8848,8305.0,Masculino,1981-11-02,2020-04-21,0851 Thomas Village,Salvador,Bahia,Brasil,Web,44
93253759-86b5-4e71-ae51-ba0c752b174b,Tereza,Neves,Tereza Neves,tereza_neves@yahoo.com,(93) 2477-9091,7953.0,Feminino,1971-11-01,2018-09-17,373 Dillon Oval,São Leopoldo,Rio Grande Do Sul,Brasil,Web,54
71114b8a-a20e-46dc-99a6-d828f38f1e3e,Veronica,Dias,Veronica Dias,vdias543@hotmail.com,(68) 4525-2154,627.0,Feminino,1991-08-26,2023-07-10,0198 Thomas Alley Apt. 126,Lagoa De Dentro,Paraíba,Brasil,Web,34
4f93babc-bbd8-44b6-9e73-764604b61b22,Barbara,Otero,Barbara Otero,barbara.otero960@yahoo.com,(86) 9156-7463,,Feminino,2006-12-05,2022-09-15,900 Robert Fall Suite 951,Várzea,Rio Grande Do Norte,Brasil,Web,19
cc0f1236-bb93-4add-b52b-c07c096a3980,Francielly,Ulhoa,Francielly Ulhoa,francielly576@hotmail.com,(91) 1808-2294,,Feminino,1995-05-14,2019-10-22,0507 Little Mews,São Paulo,São Paulo,Brasil,Web,31
bb7ef857-5f08-4cf4-b5af-97cb2c0050b8,Noemi,Ortiz,Noemi Ortiz,noemi371@1.com,(71) 4108-6262,797.0,Feminino,1972-07-14,2021-08-11,60815 Jennifer Pike,São Paulo,São Paulo,Brasil,App,53
6970ab99-78ab-4be7-b635-83ce4ee76e52,Nicolas,Queiroz,Nicolas Queiroz,nicolas_queiroz@1.com.br,(86) 4579-1204,69301.0,Masculino,1992-05-06,2021-04-28,32925 Lee Overpass,Araguatins,Tocantins,Brasil,Web,34
589cd870-64f8-4ace-bac0-fd342023eac7,Melissa,Nagata,Melissa Nagata,melissa_nagata@yahoo.com,(34) 9858-6948,476.0,Feminino,1999-04-09,2018-10-10,3338 Henry Rest Suite 854,Recife,Pernambuco,Brasil,Web,27
f14ee1bc-24aa-4c4f-aa52-5a12ef0ef010,Sandra,Xerez,Sandra Xerez,sandra.xerez425@gmail.com,(85) 7222-3098,,Feminino,1997-02-12,2019-04-06,70368 Aguirre Isle,Teresina,Piauí,Brasil,App,29
1fd5937f-e782-4321-aaba-1b78c9802526,Marcelo,Viana,Marcelo Viana,marcelo_viana@hotmail.com,(88) 9598-7100,5880.0,Masculino,1980-02-13,2024-10-07,746 Jennifer Rapid Suite 077,Valença,Bahia,Brasil,Web,46
894c31f0-0b60-496e-a2ca-a190ffe84e52,Nadia,Moura,Nadia Moura,nadia_moura@yahoo.com,(87) 2578-0772,,Feminino,1988-02-29,2022-08-06,75632 Griffin Trafficway,Carinhanha,Bahia,Brasil,App,38
21a1b1c8-7ebb-4546-a2c0-08d535d5a135,Amelia,Siqueira,Amelia Siqueira,amelia.siqueira130@hotmail.com,(89) 6307-8067,6051.0,Feminino,1976-08-03,2022-12-28,1511 Holt Street Apt. 730,Porto Ferreira,São Paulo,Brasil,Web,49
992ae8b5-68fb-4b41-a9ad-51467518ea33,Daniela,Siqueira,Daniela Siqueira,daniela856@yahoo.com,(82) 5740-5109,5164.0,Feminino,1991-06-28,2020-06-19,759 Williams Viaduct Apt. 428,Patos,Paraíba,Brasil,Web,34
7bab46bd-63b5-43d1-8126-8d971f99214d,Soraya,Neves,Soraya Neves,soraya.neves780@yahoo.com,(88) 3768-0824,4031.0,Feminino,2020-09-05,2022-06-06,2520 Robert Orchard,Conselheiro Lafaiete,Minas Gerais,Brasil,Indicação,5
160efcb2-33ca-41b1-b968-a2725b47c3d1,Melissa,Ortiz,Melissa Ortiz,melissa.ortiz@1.com.br,(88) 1876-7507,3144.0,Feminino,1974-11-08,2022-12-23,6211 Stephens Skyway Apt. 901,Iracema,Roraima,Brasil,App,51
326c19e1-2c75-48f0-be94-05cd078b4789,Leticia,Alves,Leticia Alves,leticia.alves635@hotmail.com,(86) 8235-7610,561.0,Feminino,1998-06-10,2022-10-22,4142 Weaver Extensions Suite 744,Crixás,Goiás,Brasil,Web,27
0c7d56a7-3658-485b-a780-331e44b0ca82,Yonatan,Duarte,Yonatan Duarte,yonatan746@yahoo.com,(95) 3572-2679,5376.0,Masculino,1967-01-29,2018-02-26,93483 Lisa Unions,Lauro De Freitas,Bahia,Brasil,Web,59
ba76860c-67dd-42ad-a902-c4852595d69b,Tiago,Serrano,Tiago Serrano,tiago151@gmail.com,(87) 8846-7102,,Masculino,2006-11-13,2019-06-25,5579 White Mews,São Paulo,São Paulo,Brasil,Web,19
8b2eebcf-7489-464a-b78e-739b1479b5d8,Maria,Martins,Maria Martins,mmartins383@yahoo.com,(77) 3291-3572,9860.0,Feminino,2001-02-27,2023-05-20,594 Carolyn Forks,Avanhandava,São Paulo,Brasil,Web,25
1ec1592e-c23e-44a4-b22e-eec0f2e4f24d,Alexandre,Ribeiro,Alexandre Ribeiro,aribeiro108@gmail.com,(82) 0994-1225,,Masculino,1974-02-27,2022-12-18,4716 Mcdonald Key Apt. 996,Sumaré,São Paulo,Brasil,Web,52
60239b8d-ebda-4a95-b7b5-295328afcf05,Kelly,Nogueira,Kelly Nogueira,kelly_nogueira@gmail.com,(88) 5529-1557,886.0,Feminino,1992-01-21,2024-02-12,82308 Butler Road,Catalão,Goiás,Brasil,Web,34
4310a76b-f4df-4143-b3d5-85197ff45565,Carolina,Lacerda,Carolina Lacerda,carolina.lacerda@hotmail.com,(89) 3880-4283,1131.0,Feminino,1974-09-20,2020-12-04,915 Kimberly Springs,Juiz De Fora,Minas Gerais,Brasil,Web,51
6862ae50-ecb4-491a-a078-e4c43064f0f1,Patricia,Lima,Patricia Lima,patricia.lima925@yahoo.com,(86) 0010-8488,266.0,Feminino,1996-03-03,2022-06-30,766 Thompson Port Suite 441,Eldorado,São Paulo,Brasil,Web,30
b18f58a0-adef-49a2-9a81-ea870bc82086,Nathalia,Martins,Nathalia Martins,nmartins783@yahoo.com,(91) 2208-7609,120.0,Feminino,1997-11-15,2019-07-20,36196 Allen Rue Apt. 834,Colatina,Espírito Santo,Brasil,App,28
d24b218d-f45a-4ef3-aa3e-7cc64f5c0c60,Ingrid,Henriques,Ingrid Henriques,ingrid.henriques@gmail.com,(95) 8452-4482,3743.0,Feminino,1960-08-16,2020-12-30,1242 Roberts Valleys Suite 861,Três Lagoas,Mato Grosso Do Sul,Brasil,App,65
f2406c2d-7131-4627-a385-765628898cc4,Mauro,Batista,Mauro Batista,mauro.batista@hotmail.com,(97) 3674-7883,7596.0,Masculino,1985-10-12,2023-11-30,4844 Powers Court,Vitória De Santo Antão,Pernambuco,Brasil,Web,40
